epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.70374,0.66007,3.48724,0.99626,0.00333,1,0.13719,0.12353,0.49575,3.37758,0.833,8e-05,8e-05,8e-05
2,10.413,0.58929,3.13322,0.89962,0.00333,1,0.5778,0.51853,0.45292,3.0361,0.77333,0.000176436,0.000176436,0.000176436
3,12.0154,0.64737,1.87225,0.91421,1,0.35548,0.89667,0.74268,0.50749,2.75365,0.77482,0.000268912,0.000268912,0.000268912
4,13.5301,0.65859,1.39307,0.91372,0.00333,1,0.91466,0.77485,0.46106,2.92367,0.77425,0.000357428,0.000357428,0.000357428
5,15.5279,0.61482,1.4063,0.94734,0.00821,1,0.56837,0.51429,0.48593,2.98742,0.79391,0.000441984,0.000441984,0.000441984
6,16.9897,0.68754,1.2704,0.99624,0.00333,1,0.45121,0.40909,0.54289,3.16266,0.85634,0.00052258,0.00052258,0.00052258
7,18.7434,0.63157,1.27566,0.91945,0.00333,1,0.50451,0.44069,0.56862,3.19014,0.8544,0.000599216,0.000599216,0.000599216
8,20.5131,0.64239,1.2381,0.95175,0.00333,1,0.46301,0.39043,0.5731,3.23889,0.85436,0.000671892,0.000671892,0.000671892
9,22.2035,0.68085,1.26371,0.9728,0.00333,1,0.80126,0.67123,0.59443,2.98379,0.81466,0.000740608,0.000740608,0.000740608
10,23.746,0.64945,1.21208,0.91854,1,0.44547,0.85395,0.74456,0.53317,2.63294,0.80245,0.000805364,0.000805364,0.000805364
11,25.2592,0.69523,1.25186,0.94233,1,0.67616,0.9351,0.81371,0.56532,2.40794,0.80475,0.00086616,0.00086616,0.00086616
12,26.7151,0.67803,1.21469,0.94826,1,0.9662,0.995,0.84658,0.59851,2.22143,0.81389,0.000922996,0.000922996,0.000922996
13,28.2019,0.72618,1.15073,0.9883,1,0.96691,0.995,0.84748,0.62172,2.32838,0.81729,0.000975872,0.000975872,0.000975872
14,29.6409,0.7078,1.20204,0.97638,1,0.91371,0.985,0.84073,0.52622,2.12794,0.79398,0.00102479,0.00102479,0.00102479
15,31.0429,0.60979,1.13448,0.88253,1,0.93977,0.98204,0.86783,0.52572,1.70692,0.81221,0.00106974,0.00106974,0.00106974
16,32.5211,0.62147,1.06605,0.94208,0.99567,0.95,0.97948,0.87129,0.5416,1.6314,0.8135,0.00111074,0.00111074,0.00111074
17,33.9576,0.63191,0.99372,0.92963,1,0.83287,0.89992,0.77255,0.63301,2.02,0.84944,0.00114778,0.00114778,0.00114778
18,35.4661,0.62907,1.01786,0.94393,1,0.78315,0.8202,0.71377,0.63178,2.17329,0.93114,0.00118085,0.00118085,0.00118085
19,36.8667,0.64573,0.98083,0.93422,1,0.79318,0.90719,0.75506,0.64016,2.1253,0.92549,0.00120997,0.00120997,0.00120997
20,38.3377,0.63581,0.96035,0.96196,0.9414,0.9,0.92924,0.77236,0.65657,2.03609,0.90138,0.00123512,0.00123512,0.00123512
21,39.8197,0.60761,0.9778,0.94291,0.89762,0.87741,0.92562,0.78669,0.61356,1.9724,0.89593,0.001208,0.001208,0.001208
22,41.3279,0.63697,0.94877,0.98404,0.9864,0.85,0.9407,0.8114,0.61229,2.02168,0.92488,0.0011684,0.0011684,0.0011684
23,42.7987,0.58147,0.90671,0.90084,1,0.86725,0.94531,0.78933,0.60459,1.77003,0.87556,0.0011288,0.0011288,0.0011288
24,44.3376,0.59311,0.92865,0.90839,0.99144,0.95,0.985,0.85286,0.56155,1.17649,0.82841,0.0010892,0.0010892,0.0010892
25,45.8679,0.55965,0.86985,0.92236,1,0.98534,0.995,0.88529,0.53788,1.02292,0.82609,0.0010496,0.0010496,0.0010496
26,47.4024,0.59116,0.87798,0.95442,0.98478,1,0.995,0.88214,0.53228,0.86837,0.81974,0.00101,0.00101,0.00101
27,48.8985,0.56537,0.81707,0.9241,1,0.99619,0.995,0.8885,0.51078,0.85776,0.81171,0.0009704,0.0009704,0.0009704
28,50.3563,0.52546,0.76558,0.90671,0.99738,1,0.995,0.89231,0.49383,0.77098,0.81575,0.0009308,0.0009308,0.0009308
29,51.7769,0.61781,0.85056,0.94581,0.99292,1,0.995,0.88903,0.49651,0.74842,0.8227,0.0008912,0.0008912,0.0008912
30,53.2592,0.56907,0.80259,0.91912,0.99392,1,0.995,0.88898,0.49342,0.71136,0.81446,0.0008516,0.0008516,0.0008516
31,54.6175,0.60283,0.82464,0.96586,0.99091,1,0.995,0.89959,0.48167,0.71394,0.80966,0.000812,0.000812,0.000812
32,55.9867,0.54129,0.79579,0.90625,0.99993,1,0.995,0.89489,0.48906,0.64819,0.81118,0.0007724,0.0007724,0.0007724
33,57.3336,0.50257,0.7173,0.9115,0.9954,1,0.995,0.90112,0.46468,0.57154,0.80997,0.0007328,0.0007328,0.0007328
34,58.676,0.49502,0.7099,0.90302,0.99484,1,0.995,0.9111,0.4421,0.56765,0.80336,0.0006932,0.0006932,0.0006932
35,60.0261,0.49674,0.72074,0.88936,0.99565,1,0.995,0.90306,0.42904,0.54875,0.79769,0.0006536,0.0006536,0.0006536
36,61.4595,0.47643,0.66093,0.86594,0.99739,1,0.995,0.90509,0.44381,0.54453,0.80064,0.000614,0.000614,0.000614
37,62.7776,0.52911,0.79714,0.91298,0.99769,1,0.995,0.89404,0.45022,0.54526,0.802,0.0005744,0.0005744,0.0005744
38,64.1603,0.50898,0.75073,0.93573,0.99822,1,0.995,0.89539,0.43368,0.55994,0.79943,0.0005348,0.0005348,0.0005348
39,65.5176,0.48485,0.7038,0.8925,0.99901,1,0.995,0.90397,0.4169,0.56413,0.79728,0.0004952,0.0004952,0.0004952
40,66.9243,0.46819,0.68525,0.88238,0.99866,1,0.995,0.91279,0.41262,0.52405,0.79794,0.0004556,0.0004556,0.0004556
41,78.5913,0.39882,0.8288,0.81914,0.9986,1,0.995,0.9131,0.42071,0.53318,0.79887,0.000416,0.000416,0.000416
42,79.9785,0.40099,0.81594,0.82015,0.99871,1,0.995,0.90899,0.43705,0.54251,0.79981,0.0003764,0.0003764,0.0003764
43,81.3508,0.39699,0.80921,0.82749,0.99884,1,0.995,0.89649,0.44648,0.57026,0.8027,0.0003368,0.0003368,0.0003368
44,82.6807,0.36803,0.79687,0.80652,0.99769,1,0.995,0.91045,0.43236,0.55427,0.79786,0.0002972,0.0002972,0.0002972
45,84.0561,0.34315,0.76564,0.80108,0.99733,1,0.995,0.92251,0.41944,0.5292,0.79756,0.0002576,0.0002576,0.0002576
46,85.4337,0.36223,0.78927,0.81778,0.9972,1,0.995,0.92199,0.41143,0.51097,0.7968,0.000218,0.000218,0.000218
47,86.7791,0.34514,0.75959,0.81758,0.99716,1,0.995,0.92512,0.40292,0.49359,0.79593,0.0001784,0.0001784,0.0001784
48,88.1474,0.34797,0.7332,0.81267,0.99722,1,0.995,0.91519,0.40382,0.47821,0.79475,0.0001388,0.0001388,0.0001388
49,89.473,0.33368,0.74448,0.78273,0.99722,1,0.995,0.91816,0.40468,0.46655,0.79408,9.92e-05,9.92e-05,9.92e-05
50,90.8135,0.32504,0.69938,0.81979,0.99716,1,0.995,0.91653,0.40402,0.46429,0.79344,5.96e-05,5.96e-05,5.96e-05
